#chrom	name	symbol	geneName	locus_type
chr1	HGNC:37102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)	pseudogene
chr1	HGNC:38034	WASH7P	"WASP family homolog 7, pseudogene"	pseudogene
chr1	HGNC:50039	MIR6859-1	microRNA 6859-1	"RNA, micro"
chr1	HGNC:52482	MIR1302-2HG	MIR1302-2 host gene	"RNA, long non-coding"
chr4	HGNC:41512	SNX5P1	sorting nexin 5 pseudogene 1	pseudogene
chr4	HGNC:47963	RNU6-1000P	"RNA, U6 small nuclear 1000, pseudogene"	pseudogene
chr4	HGNC:35484	RPL36AP18	ribosomal protein L36a pseudogene 18	pseudogene
chr4	HGNC:30422	SHROOM3	shroom family member 3	gene with protein product
chr5	HGNC:45236	SPCS2P3	signal peptidase complex subunit 2 pseudogene 3	pseudogene
chr5	HGNC:25818	BRD9	bromodomain containing 9	gene with protein product
chr5	HGNC:12307	TRIP13	thyroid hormone receptor interactor 13	gene with protein product
chr6	HGNC:8921	PHF3	PHD finger protein 3	gene with protein product
chr6	HGNC:21555	EYS	eyes shut homolog	gene with protein product
chr6	HGNC:40967	SCAT8	S-phase cancer associated transcript 8	"RNA, long non-coding"
chr6	HGNC:37974	GCNT1P4	glucosaminyl (N-acetyl) transferase 1 pseudogene 4	pseudogene
chr6	HGNC:48749	HNRNPDP2	heterogeneous nuclear ribonucleoprotein D pseudogene 2	pseudogene
chr6	HGNC:56304	ZC3H11C	zinc finger CCCH-type containing 11C	gene with protein product
chr6	HGNC:23325	SLC25A51P1	SLC25A51 pseudogene 1	pseudogene
chr6	HGNC:21377	ADH5P4	ADH5 pseudogene 4	pseudogene
chr6	HGNC:8058	NUFIP1P1	NUFIP1 pseudogene 1	pseudogene
chr6	HGNC:34162	RNU7-66P	"RNA, U7 small nuclear 66 pseudogene"	pseudogene
chr6	HGNC:43108	RNA5SP208	"RNA, 5S ribosomal pseudogene 208"	pseudogene
chr6	HGNC:47243	RNU6-280P	"RNA, U6 small nuclear 280, pseudogene"	pseudogene
chr6	HGNC:53584	LINC02549	long intergenic non-protein coding RNA 2549	"RNA, long non-coding"
chr6	HGNC:55774	ADGRB3-DT	ADGRB3 divergent transcript	"RNA, long non-coding"
chr6	HGNC:945	ADGRB3	adhesion G protein-coupled receptor B3	gene with protein product
chr6	HGNC:23038	LMBRD1	LMBR1 domain containing 1	gene with protein product
chr6	HGNC:45216	NPM1P37	nucleophosmin 1 pseudogene 37	pseudogene
chr6	HGNC:37799	GAPDHP42	glyceraldehyde 3 phosphate dehydrogenase pseudogene 42	pseudogene
chr6	HGNC:2196	COL19A1	collagen type XIX alpha 1 chain	gene with protein product
chr6	HGNC:36659	RPL37P15	ribosomal protein L37 pseudogene 15	pseudogene
chr6	HGNC:2217	COL9A1	collagen type IX alpha 1 chain	gene with protein product
chr6	HGNC:51676	LINC01610	long intergenic non-protein coding RNA 1610	"RNA, long non-coding"
chr6	HGNC:40955	FAM135A-AS1	FAM135A antisense RNA 1	"RNA, long non-coding"
chr6	HGNC:21084	FAM135A	family with sequence similarity 135 member A	gene with protein product
chr6	HGNC:34144	RNU7-48P	"RNA, U7 small nuclear 48 pseudogene"	pseudogene
chr6	HGNC:20957	SDHAF4	succinate dehydrogenase complex assembly factor 4	gene with protein product
chr6	HGNC:43855	SLC25A6P6	solute carrier family 25 member 6 pseudogene 6	pseudogene
chr6	HGNC:19651	SMAP1	small ArfGAP 1	gene with protein product
chr6	HGNC:52265	NDUFAB1P1	NADH:ubiquinone oxidoreductase subunit AB1 pseudogene 1	pseudogene
chr6	HGNC:922	B3GAT2	"beta-1,3-glucuronyltransferase 2"	gene with protein product
chr6	HGNC:51330	BECN1P2	beclin 1 pseudogene 2	pseudogene
chr6	HGNC:44007	LYPLA1P3	LYPLA1 pseudogene 3	pseudogene
chr6	HGNC:47374	RNU6-411P	"RNA, U6 small nuclear 411, pseudogene"	pseudogene
chr6	HGNC:21378	OGFRL1	opioid growth factor receptor like 1	gene with protein product
chr6	HGNC:31627	MIR30C2	microRNA 30c-2	"RNA, micro"
chr6	HGNC:31624	MIR30A	microRNA 30a	"RNA, micro"
chr6	HGNC:21380	LINC00472	long intergenic non-protein coding RNA 472	"RNA, long non-coding"
chr6	HGNC:52257	LINC01626	long intergenic non-protein coding RNA 1626	"RNA, long non-coding"
chr6	HGNC:33422	KRT19P1	keratin 19 pseudogene 1	pseudogene
chr6	HGNC:47002	RNU4-66P	"RNA, U4 small nuclear 66, pseudogene"	pseudogene
chr6	HGNC:17282	RIMS1	regulating synaptic membrane exocytosis 1	gene with protein product
chr6	HGNC:6299	KCNQ5	potassium voltage-gated channel subfamily Q member 5	gene with protein product
chr6	HGNC:41354	KCNQ5-IT1	KCNQ5 intronic transcript 1	"RNA, long non-coding"
chr6	HGNC:38189	MIR4282	microRNA 4282	"RNA, micro"
chr6	HGNC:48922	KNOP1P4	lysine rich nucleolar protein 1 pseudogene 4	pseudogene
chr6	HGNC:42457	PGAM1P10	phosphoglycerate mutase 1 pseudogene 10	pseudogene
chr6	HGNC:40323	KCNQ5-AS1	KCNQ5 antisense RNA 1	"RNA, long non-coding"
chr6	HGNC:50509	RBPMS2P1	RBPMS2 pseudogene 1	pseudogene
chr6	HGNC:43757	KHDC1P1	KH domain containing 1 pseudogene 1	pseudogene
chr6	HGNC:37274	KHDC1L	KH domain containing 1 like	gene with protein product
chr6	HGNC:21366	KHDC1	KH domain containing 1	gene with protein product
chr6	HGNC:36663	RPSAP41	ribosomal protein SA pseudogene 41	pseudogene
chr6	HGNC:6102	EIF3EP1	eukaryotic translation initiation factor 3 subunit E pseudogene 1	pseudogene
chr6	HGNC:44685	SDCBP2P1	syndecan binding protein 2 pseudogene 1	pseudogene
chr6	HGNC:38096	PAICSP3	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 3"	pseudogene
chr6	HGNC:19201	DPPA5	developmental pluripotency associated 5	gene with protein product
